Larry Bucshon,0
Jacky Rosen,0
Scott H. Peters,0
Dan Newhouse,0
Hakeem S. Jeffries,0
Austin Scott,0
Susan M. Collins,-0.444693088773971
Mark R Meadows,0
Mrs. Marjorie Taylor Greene,0
David Madison Cawthorn,0
Justin Amash,0
Mr. Scott Franklin,0
Jerry Moran,0
Alan S. Lowenthal,0
Lois Frankel,1.330929070929071
Kim Dr Schrier,0
Rick Larsen,0
Blake Moore,0
James Comer,0
David B. Mckinley,0
Mark Green,0
Bill Flores,0
Richard W. Allen,1.5622738178546443
Nicholas V. Taylor,0
Tommy Tuberville,0
Dan Sullivan,0
Tammy Duckworth,0
Bill Cassidy,0.33025922353508563
Patrick T. Mchenry,0
Michael Bennet,0
Lloyd Doggett,0
Maria Elvira Salazar,0
Zoe Lofgren,0
James E Hon Banks,0
Tim Burchett,0
Mary Gay Scanlon,0
Barbara J  Comstock,-0.953091908091908
Robert J. Wittman,0
James M. Inhofe,-0.011442342105607213
Nancy Pelosi,0
Grace Meng,0
Virginia Foxx,0
August Lee Pfluger Ii,0
John F. Reed,0.3069204479730797
Pat Toomey,0.4289141129322548
Teresa Leger Fernandez,0
Bob Gibbs,0
John Garamendi,0
Adam B. Schiff,0
John B. Larson,0
James French Hill,0
Ron Estes,0
Kathy Castor,0
Gerald E. Connolly,0
Dwight Evans,0
Angus King,3.371158841158842
Roy Blunt,0
Mark Warner,0
Mr. Peter Meijer,0
Michael C. Burgess,0
Thomas H. Kean,0
John Hickenlooper,0
Sara Jacobs,0
Elizabeth Fletcher,0
Brian Higgins,0
Frank A. Lobiondo,0
Earl Blumenauer,0
Carlos Curbelo,0.09378621378621389
William R. Keating,0
"Robert C. ""Bobby"" Scott",0
Paul D. Ryan,0
Shelley Moore Capito,1.4088395731252887
Pete Sessions,-0.4727426378092443
John A. Yarmuth,0.39729270729270727
Deborah Ross,0
Josh Gottheimer,-0.1355967401611123
James E. Banks,0
Donald Sternoff Beyer Jr.,0
Ron Wyden,0
C. Scott Franklin,0
Sean Patrick Maloney,0
Raúl M. Grijalva,0
David Trone,0
Thomas J. Rooney,0
Tim Kaine,0
Jackie Speier,0
Ed Perlmutter,0
Greg Murphy,0
Bill Pascrell Jr.,0
Andrew Garbarino,0
Donald Sternoff  Beyer Jr,0
John Hoeven,-0.32317355008824855
William R. Timmons Iv,0
Peter Meijer,0
James R. Langevin,0
Cynthia Lummis,0
Thomas Massie,0
Bryan George Steil,0
Susan A. Davis,0
Suzan K. Delbene,0
Daniel Crenshaw,0
Steve Knight,0
Thomas Macarthur,0
Nicholas Van Taylor,0
Michael K. Simpson,0
Kelly Loeffler,0
Kenneth R. Buck,0
John Kennedy,0
Donald Sternoff Beyer Jr,0
Robert E. Latta,0
Carol Devine Miller,0
Ed Case,0
Elaine Luria,0
Thomas H. Kean Jr.,0
Mark Dr Green,0
Victoria Spartz,0
Greg Gianforte,-0.9993950060499395
John Cornyn,0
Peter Welch,0
Chris Van Hollen,0
Garret Graves,0
David Cheston Rouzer,0
Kim Schrier,0
Gary Palmer,-0.8364297467238645
John Boozman,0
Rob Woodall,0
Bill Hagerty,0
Richard Blumenthal,0
Thomas R. Carper,-0.26721350078492934
Ashley Hinson Arenholz,0
Kathy Manning,0
Greg Steube,0
Sheldon Whitehouse,0
Donna Shalala,0
Shri Thanedar,0
Tom Rice,0
Chris Coons,0
Daniel Goldman,0
John Curtis,0
Russ Fulcher,0
Patrick Fallon,0
Joe Manchin,0
Michael B. Enzi,0
David A. Trott,0
Mario Diaz-Balart,0
Lindsey Graham,0
John Thune,0
Scott Mr Franklin,0
Warren Davidson,0
Marie Newman,0
Ted Cruz,0
David Perdue,-0.008170220071911002
Thomas Suozzi,3.9470510551270657
Tom O'Halleran,0
Brian Mast,0
Susan W. Brooks,0
Cheri Bustos,0
Gary Peters,2.4484685314685315
Derek Kilmer,0
W. Greg Steube,0
Max Miller,0
Debbie Wasserman Schultz,0
John W. Rose,0
Kevin Yoder,0
Judy Chu,0
Tom Malinowski,0
K. Michael Conaway,-0.9177508166122259
Gilbert Cisneros,0
Mikie Sherrill,0
Daniel Meuser,0
Jonathan Jackson,0
Stephanie Murphy,0
Stephanie Bice,0
Brian Babin,0
Lamar Smith,0
Peter J. Visclosky,0
Michael Patrick Guest,0
Jared Moskowitz,0
David P. Joyce,0
Lloyd K. Smucker,0
Seth Moulton,0
Adam Kinzinger,0
Tina Smith,0
Tom Udall,0
A. Mitchell Jr. McConnell,-0.982983682983683
Dianne Feinstein,-0.9923656263935722
Harley E. Rouda Jr.,0
Robert P. Jr. Casey,0
Roger W. Marshall,-0.25460292527692213
Christopher L. Jacobs,0
Patty Murray,0.12560275341097177
Dean Phillips,0
Thom Tillis,0
Robert B. Aderholt,0
Lori Trahan,0
Steve Cohen,0
Scott Franklin,0
Jennifer Mcclellan,0
Richard Burr,0.12060312913773023
Frank Pallone Jr.,0
Debbie Dingell,0
Michael John Gallagher,0
Joseph D. Morelle,0
Pat Roberts,0.0373029963094829
Bradley S. Schneider,-0.9993001069989299
Maria Cantwell,0
Joe Courtney,0
Michael Garcia,0
Paul Mitchell Iii,0
Morgan Mcgarvey,0
Kevin Hern,0
Deborah K. Ross,0
Abigail Spanberger,0
Rodney Leland Blum,0
Anthony E. Gonzalez,0
John Rutherford,-0.8140704123462744
Deb Fischer,0
Marcy Kaptur,0
Mo Brooks,0
Aston Donald Mceachin,0
Matt Gaetz,0
Cindy Axne,0
Katherine M. Clark,0
Susie Lee,0
David Kustoff,0
Keith J. Rothfus,0
David E. Price,0
Marjorie Taylor Greene,0
